Objeto	Coluna	PK	FK	FKReferenceSource	FKReferenceFake
[dbo].[ALTERACAO_STATUS]	CD_MOTIVO_DESATIVACAO	False	False	NULL	000000
[dbo].[ALTERACAO_STATUS]	CD_USUARIO_MANIPULADOR	False	False	NULL	000000
[dbo].[ANALISE_ACIDENTE]	CD_ANALISE_ACIDENTE	True	False	NULL	000000
[dbo].[ANALISE_ACIDENTE]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
[dbo].[ANALISE_ACIDENTE]	CD_OCORRENCIA_ACIDENTE	False	False	NULL	000000
[dbo].[ANALISE_ACIDENTE]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[dbo].[ANALISE_ACIDENTE_ANEXO]	CD_ANALISE_ACIDENTE_ANEXO	True	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_ANEXO]	CD_ANALISE_ACIDENTE	False	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_ANEXO]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
[dbo].[ANALISE_ACIDENTE_ANEXO]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[dbo].[ANALISE_ACIDENTE_DELIBERACAO]	CD_ANALISE_ACIDENTE_DELIBERACAO	True	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_DELIBERACAO]	CD_ANALISE_ACIDENTE	False	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_DELIBERACAO]	CD_AREA_RESPONSAVEL_ACIDENTES	False	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_DELIBERACAO]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
[dbo].[ANALISE_ACIDENTE_DELIBERACAO]	CD_STATUS_ANALISE_ACIDENTE_DELIBERACAO	False	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_DELIBERACAO]	CD_TIPO_ACAO_ANALISE_ACIDENTE_DELIBERACAO	False	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_DELIBERACAO]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[dbo].[ANALISE_ACIDENTE_DELIBERACAO_ANEXO]	CD_ANALISE_ACIDENTE_DELIBERACAO_ANEXO	True	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_DELIBERACAO_ANEXO]	CD_ANALISE_ACIDENTE_DELIBERACAO	False	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_DELIBERACAO_ANEXO]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
[dbo].[ANALISE_ACIDENTE_DELIBERACAO_ANEXO]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[dbo].[ANALISE_ACIDENTE_DELIBERACAO_HISTORICO]	CD_ANALISE_ACIDENTE	False	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_DELIBERACAO_HISTORICO]	CD_ANALISE_ACIDENTE_DELIBERACAO	False	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_DELIBERACAO_HISTORICO]	CD_AREA_RESPONSAVEL_ACIDENTES	False	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_DELIBERACAO_HISTORICO]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
[dbo].[ANALISE_ACIDENTE_DELIBERACAO_HISTORICO]	CD_STATUS_ANALISE_ACIDENTE_DELIBERACAO	False	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_DELIBERACAO_HISTORICO]	CD_TIPO_ACAO_ANALISE_ACIDENTE_DELIBERACAO	False	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_DELIBERACAO_HISTORICO]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[dbo].[ANALISE_ACIDENTE_HISTORICO]	CD_ANALISE_ACIDENTE	False	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_HISTORICO]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
[dbo].[ANALISE_ACIDENTE_HISTORICO]	CD_OCORRENCIA_ACIDENTE	False	False	NULL	000000
[dbo].[ANALISE_ACIDENTE_HISTORICO]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[dbo].[ANIMAL]	CD_ANIMAL	True	False	NULL	000000
[dbo].[ANIMAL]	CD_AGENCIA	False	False	NULL	[dbo].[AGENCIA].[CD_AGENCIA]
[dbo].[ANIMAL]	CD_ESPECIE_ANIMAL	False	False	NULL	000000
